0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/js/jquery/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/bootstrap/timer/bootstrap-datetimepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/static/bi/js/fastclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/static/bi/css/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/bootstrap/js/bootstrap-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/static/bi/css/custom.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/static/bi/js/raphael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/bootstrap/timer/bootstrap-datetimepicker.zh-CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/bootstrap/timer/bootstrap-datetimepicker.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/bootstrap/css/bootstrap-select.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/static/bi/css/green.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/static/bi/js/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/static/bi/js/morris.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:53 +0800] "GET /datafilter-web/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:42:54 +0800] "GET /datafilter-web/select_chaopi_data HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [04/Jun/2018:00:43:03 +0800] "GET /datafilter-web/export_chaopi_data?startTime=20140627&endTime=20230703&fileName=%E6%95%88%E6%9C%9F%E4%B8%80%E5%B9%B4%E5%8D%8A%E5%88%B0%E4%B8%A4%E5%B9%B4%E6%B1%87%E6%80%BB HTTP/1.1" 500 959
